 TIME                    	t                        	f-sim                    	f-exp                    	Tr-sim                   	Tr-exp                   	RHr-sim                  	RHr-exp                  	Ts-sim                   	Ts-exp                   	RHs-sim                  	RHs-exp                  	Toa                      	Pel-sim                  	Pel-exp                  	Qcs-sim                  	Qcs-exp                  	Qcl-sim                  	Qcl-exp                  	Qc-sim                   	Qc-exp                   	
  +1.9833333333333334E+00	  +7.1400000000000000E+03	  +2.0899999999999999E+01	  +3.1302000000000000E+01	  +2.3745219617530282E+01	  +2.3710999999999999E+01	  +3.9204000000000001E+01	  +3.9204000000000001E+01	  +1.9199609160134180E+01	  +1.6280000000000001E+01	  +5.5637959184280319E+01	  +5.6997999999999998E+01	  +3.3485999999999997E+01	  +2.2559944678787677E-01	  +3.8746444444444444E-01	  +9.8478797305818089E-01	  +2.3234133333333333E+00	  +7.8969886979264337E-01	  +4.6804083333333329E-01	  +1.7744868428508243E+00	  +2.7914541666666670E+00	
  +2.0000000000000000E+00	  +7.2000000000000000E+03	  +2.0899999999999999E+01	  +3.1248000000000001E+01	  +2.3756123746527599E+01	  +2.3757999999999999E+01	  +6.1636000000000003E+01	  +6.1636000000000003E+01	  +1.9226593547851266E+01	  +1.6286999999999999E+01	  +5.5633148503844140E+01	  +6.1436999999999998E+01	  +3.3773000000000003E+01	  +2.2706724731424288E-01	  +3.9396444444444445E-01	  +9.8097395699118073E-01	  +1.1516816666666667E+00	  +7.8578757391463450E-01	  +1.6499930555555558E+00	  +1.7667615309058151E+00	  +2.8016747222222222E+00	
  +2.0166666666666666E+00	  +7.2600000000000000E+03	  +2.2800000000000001E+01	  +3.1263000000000002E+01	  +2.3757255512478419E+01	  +2.3818000000000001E+01	  +6.2156999999999996E+01	  +6.2156999999999996E+01	  +1.8865828395465694E+01	  +1.6312000000000001E+01	  +5.6126944305924397E+01	  +7.1096999999999994E+01	  +3.3941000000000003E+01	  +2.6155338249176713E-01	  +3.9457055555555554E-01	  +1.0642394176670480E+00	  +1.3359527777777778E+00	  +8.5047862653362116E-01	  +1.4564980555555556E+00	  +1.9147180442006693E+00	  +2.7924508333333335E+00	
  +2.0333333333333332E+00	  +7.3200000000000000E+03	  +2.2800000000000001E+01	  +3.1216999999999999E+01	  +2.3733503598382182E+01	  +2.3852000000000000E+01	  +5.1215000000000003E+01	  +5.1215000000000003E+01	  +1.8818711235726614E+01	  +1.6314000000000000E+01	  +5.6072368808817998E+01	  +6.3960999999999999E+01	  +3.3732999999999997E+01	  +2.6010737805547435E-01	  +3.9599138888888885E-01	  +1.0651452340440761E+00	  +1.6485408333333333E+00	  +8.5380677191097942E-01	  +1.1358050000000000E+00	  +1.9189520059550553E+00	  +2.7843461111111112E+00	
  +2.0499999999999998E+00	  +7.3800000000000000E+03	  +2.2800000000000001E+01	  +3.1201000000000001E+01	  +2.3712503540189847E+01	  +2.3843000000000000E+01	  +7.1204999999999998E+01	  +7.1204999999999998E+01	  +1.8821398391226904E+01	  +1.6306999999999999E+01	  +5.6017485329589199E+01	  +5.1390000000000001E+01	  +3.3975999999999999E+01	  +2.6160421710520593E-01	  +3.9274833333333331E-01	  +1.0593872356973295E+00	  +8.0517888888888878E-01	  +8.4995415042108524E-01	  +1.9576619444444443E+00	  +1.9093413861184148E+00	  +2.7628411111111109E+00	
  +2.0666666666666669E+00	  +7.4400000000000000E+03	  +2.2800000000000001E+01	  +3.1270000000000000E+01	  +2.3704526345410805E+01	  +2.3831000000000000E+01	  +4.0619000000000000E+01	  +4.0619000000000000E+01	  +1.8823774529764098E+01	  +1.6294000000000000E+01	  +5.5997812917774716E+01	  +7.1103999999999999E+01	  +3.4076000000000001E+01	  +2.6222254564414132E-01	  +4.0024777777777781E-01	  +1.0571417678130799E+00	  +2.7758530555555554E+00	  +8.4838221268441349E-01	  +0.0000000000000000E+00	  +1.9055239804974935E+00	  +2.7758530555555554E+00	
  +2.0833333333333335E+00	  +7.5000000000000000E+03	  +2.2800000000000001E+01	  +3.1300999999999998E+01	  +2.3704077531901376E+01	  +2.3739999999999998E+01	  +7.1180000000000007E+01	  +7.1180000000000007E+01	  +1.8832632117798159E+01	  +1.6228999999999999E+01	  +5.5989291558335317E+01	  +6.6025999999999996E+01	  +3.4189999999999998E+01	  +2.6295010779703321E-01	  +4.0461083333333331E-01	  +1.0551319704402620E+00	  +9.7633666666666663E-01	  +8.4658552143584898E-01	  +1.8038213888888888E+00	  +1.9017174918761108E+00	  +2.7801580555555554E+00	
  +2.1000000000000001E+00	  +7.5600000000000000E+03	  +2.4699999999999999E+01	  +3.1245999999999999E+01	  +2.3681968773034018E+01	  +2.3757000000000001E+01	  +3.6642000000000003E+01	  +3.6642000000000003E+01	  +1.8389702842435206E+01	  +1.6254999999999999E+01	  +5.6463773529477038E+01	  +5.2523000000000003E+01	  +3.4198000000000000E+01	  +3.0071057399794870E-01	  +3.9486805555555560E-01	  +1.1459739131567070E+00	  +2.2587527777777781E+00	  +9.1897069732475500E-01	  +5.0837916666666660E-01	  +2.0649446104814619E+00	  +2.7671319444444444E+00	
  +2.1166666666666667E+00	  +7.6200000000000000E+03	  +2.2800000000000001E+01	  +3.1202000000000002E+01	  +2.3657820229448628E+01	  +2.3722999999999999E+01	  +6.6393000000000001E+01	  +6.6393000000000001E+01	  +1.8788004901853967E+01	  +1.6213000000000001E+01	  +5.5924757886989781E+01	  +6.0973999999999997E+01	  +3.4045000000000002E+01	  +2.6189897975879267E-01	  +4.0258944444444439E-01	  +1.0547209439625611E+00	  +1.0017230555555556E+00	  +8.4891347578443010E-01	  +1.7464291666666667E+00	  +1.9036344197469912E+00	  +2.7481522222222221E+00	
  +2.1333333333333333E+00	  +7.6800000000000000E+03	  +2.2800000000000001E+01	  +3.1245999999999999E+01	  +2.3659116737107482E+01	  +2.3692000000000000E+01	  +6.2176000000000002E+01	  +6.2176000000000002E+01	  +1.8799499205289987E+01	  +1.6207000000000001E+01	  +5.5917741521928107E+01	  +7.1117999999999995E+01	  +3.4177000000000000E+01	  +2.6274168355997418E-01	  +4.0217944444444442E-01	  +1.0525209569916165E+00	  +1.3152963888888889E+00	  +8.4685857040549961E-01	  +1.4240686111111112E+00	  +1.8993795273971161E+00	  +2.7393647222222222E+00	
  +2.1499999999999999E+00	  +7.7400000000000000E+03	  +2.2800000000000001E+01	  +3.1230000000000000E+01	  +2.3664427832847739E+01	  +2.3716000000000001E+01	  +6.1920000000000002E+01	  +6.1920000000000002E+01	  +1.8800486272832071E+01	  +1.6230000000000000E+01	  +5.5928709238108439E+01	  +5.7073999999999998E+01	  +3.4142000000000003E+01	  +2.6253382081865978E-01	  +4.0421805555555557E-01	  +1.0534612574765307E+00	  +1.0453838888888889E+00	  +8.4739592077166459E-01	  +1.6905133333333333E+00	  +1.9008571782481953E+00	  +2.7358972222222220E+00	
  +2.1666666666666665E+00	  +7.8000000000000000E+03	  +2.2800000000000001E+01	  +3.1230000000000000E+01	  +2.3668780064206516E+01	  +2.3786999999999999E+01	  +6.2137000000000000E+01	  +6.2137000000000000E+01	  +1.8804072589174520E+01	  +1.6248999999999999E+01	  +5.5935305531468273E+01	  +5.9898000000000003E+01	  +3.4148000000000003E+01	  +2.6258402467621156E-01	  +4.0328555555555556E-01	  +1.0536321626869836E+00	  +1.0931605555555557E+00	  +8.4729640644336957E-01	  +1.6654855555555554E+00	  +1.9009285691303532E+00	  +2.7586461111111111E+00	
