 TIME                    	time                     	freq-sim                 	freq-exp                 	Toa                      	Tr-sim                   	Tr-exp                   	Ts-sim                   	Ts-exp                   	Pel-sim                  	Pel-exp                  	Qh-sim                   	Qh-exp                   	Qhair                    	
  +1.0500000000000000E+00	  +1.0500000000000000E+00	  +1.1900000000000000E+02	  +1.1943500000000000E+02	  -1.0279000000000000E+01	  +2.2560795153570812E+01	  +2.2483000000000001E+01	  +6.0718322964980977E+01	  +3.9927999999999997E+01	  +3.0965395438783414E+00	  +2.0286933333333335E+00	  +4.9412141366942759E+00	  +1.6416000000000000E-01	  +3.5988366666666667E+00	
  +1.0666666666666667E+00	  +1.0669999999999999E+00	  +1.1900000000000000E+02	  +1.2068899999999999E+02	  -1.0268000000000001E+01	  +2.2814993148533379E+01	  +2.2643000000000001E+01	  +6.0980783292416511E+01	  +4.0139000000000003E+01	  +3.1064964998299764E+00	  +2.0220866666666666E+00	  +4.9379885561971015E+00	  +1.7191805555555556E-01	  +3.6073747222222226E+00	
  +1.0833333333333333E+00	  +1.0830000000000000E+00	  +1.1900000000000000E+02	  +1.1807500000000000E+02	  -1.0215000000000000E+01	  +2.3057696819284732E+01	  +2.2178000000000001E+01	  +6.1069137490931219E+01	  +4.0271999999999998E+01	  +3.1155446295082068E+00	  +2.0260455555555557E+00	  +4.9139040890345838E+00	  +2.4379194444444444E-01	  +3.7325794444444447E+00	
  +1.1000000000000001E+00	  +1.1000000000000001E+00	  +1.0710000000000001E+02	  +1.2052100000000000E+02	  -1.0441000000000001E+01	  +2.3274141262575796E+01	  +2.2459000000000000E+01	  +5.9679939213069439E+01	  +4.0578000000000003E+01	  +2.6910471610629934E+00	  +2.0174924999999999E+00	  +4.7009229322791803E+00	  +3.3667333333333332E-01	  +3.7340180555555555E+00	
  +1.1166666666666667E+00	  +1.1170000000000000E+00	  +9.1233333333333334E+01	  +1.1795699999999999E+02	  -1.0510999999999999E+01	  +2.3439544473558687E+01	  +2.2876000000000001E+01	  +5.6919384768022425E+01	  +4.0921999999999997E+01	  +2.1346893798451809E+00	  +2.0048274999999998E+00	  +4.3248869848093188E+00	  +3.3667333333333332E-01	  +3.7146158333333332E+00	
  +1.1333333333333333E+00	  +1.1330000000000000E+00	  +7.5366666666666660E+01	  +1.1951100000000000E+02	  -1.0747999999999999E+01	  +2.3535502988907734E+01	  +2.3045999999999999E+01	  +5.3213035232112240E+01	  +4.1264000000000003E+01	  +1.5895529059844820E+00	  +2.0168111111111111E+00	  +3.8318585536490533E+00	  +4.0606111111111109E-01	  +3.7467622222222219E+00	
  +1.1499999999999999E+00	  +1.1499999999999999E+00	  +6.7433333333333337E+01	  +1.1758000000000000E+02	  -1.0830000000000000E+01	  +2.3571740286380290E+01	  +2.2832000000000001E+01	  +5.1051640523931184E+01	  +4.1548999999999999E+01	  +1.3403509616963265E+00	  +2.0565527777777777E+00	  +3.5436248268639501E+00	  +4.1231780555555559E+00	  +3.8490297222222223E+00	
  +1.1666666666666667E+00	  +1.1670000000000000E+00	  +6.7433333333333337E+01	  +1.1724200000000000E+02	  -1.1169000000000000E+01	  +2.3585195338242272E+01	  +2.3170000000000002E+01	  +5.0956947305873612E+01	  +4.1881000000000000E+01	  +1.3415542581399202E+00	  +2.0056180555555558E+00	  +3.5322414912704758E+00	  +4.1244008333333335E+00	  +3.8436499999999998E+00	
  +1.1833333333333333E+00	  +1.1830000000000001E+00	  +6.7433333333333337E+01	  +1.1708199999999999E+02	  -1.1189000000000000E+01	  +2.3597047911345033E+01	  +2.3274999999999999E+01	  +5.0958257282063315E+01	  +4.2148000000000003E+01	  +1.3418397454170434E+00	  +2.0041661111111111E+00	  +3.5308688435834030E+00	  +4.1138416666666666E+00	  +3.8747227777777780E+00	
  +1.2000000000000000E+00	  +1.2000000000000000E+00	  +6.7433333333333337E+01	  +1.1756699999999999E+02	  -1.1212999999999999E+01	  +2.3608249062804070E+01	  +2.3227000000000000E+01	  +5.0958630481364537E+01	  +4.2213000000000001E+01	  +1.3421447375066184E+00	  +2.0107724999999999E+00	  +3.5293434389692715E+00	  +4.1644863888888892E+00	  +3.8977238888888892E+00	
  +1.2166666666666666E+00	  +1.2170000000000001E+00	  +6.3466666666666669E+01	  +1.1897600000000000E+02	  -1.1462000000000000E+01	  +2.3607560517503689E+01	  +2.3457999999999998E+01	  +4.9755040899608879E+01	  +4.2564999999999998E+01	  +1.2212872060874185E+00	  +2.0411297222222222E+00	  +3.3725495952144420E+00	  +4.1895324999999994E+00	  +3.9187344444444445E+00	
  +1.2333333333333334E+00	  +1.2330000000000001E+00	  +6.3466666666666669E+01	  +1.1755700000000000E+02	  -1.1435000000000000E+01	  +2.3595846269586140E+01	  +2.3324999999999999E+01	  +4.9746107398719367E+01	  +4.2540999999999997E+01	  +1.2208178603931161E+00	  +2.0203708333333332E+00	  +3.3746133270640839E+00	  +4.2058005555555553E+00	  +3.9420608333333331E+00	
  +1.2500000000000000E+00	  +1.2500000000000000E+00	  +6.3466666666666669E+01	  +1.1655600000000000E+02	  -1.1535000000000000E+01	  +2.3584716487427606E+01	  +2.3265999999999998E+01	  +4.9715201217770684E+01	  +4.2533000000000001E+01	  +1.2208448727185082E+00	  +2.0263136111111111E+00	  +3.3721828569310048E+00	  +4.2063613888888884E+00	  +3.9529936111111112E+00	
  +1.2666666666666666E+00	  +1.2669999999999999E+00	  +6.7433333333333337E+01	  +1.1950500000000000E+02	  -1.1798000000000000E+01	  +2.3583837206708921E+01	  +2.3178999999999998E+01	  +5.0780550160231073E+01	  +4.2588000000000001E+01	  +1.3437724214569027E+00	  +2.0132444444444446E+00	  +3.5111921179904675E+00	  +4.1699958333333331E+00	  +3.9823172222222225E+00	
  +1.2833333333333334E+00	  +1.2829999999999999E+00	  +6.7433333333333337E+01	  +1.1803100000000001E+02	  -1.1868000000000000E+01	  +2.3592522216531041E+01	  +2.3462000000000000E+01	  +5.0773099500135700E+01	  +4.2959000000000003E+01	  +1.3443899772827252E+00	  +2.0526572222222224E+00	  +3.5076103389766500E+00	  +4.2368355555555555E+00	  +3.9961666666666669E+00	
  +1.3000000000000000E+00	  +1.3000000000000000E+00	  +6.7433333333333337E+01	  +1.0847799999999999E+02	  -1.1823000000000000E+01	  +2.3600639824747162E+01	  +2.3346000000000000E+01	  +5.0790126728037826E+01	  +4.2497999999999998E+01	  +1.3443655929103919E+00	  +1.7782119444444444E+00	  +3.5086678203727937E+00	  +4.0633299999999997E+00	  +3.9291636111111110E+00	
  +1.3166666666666667E+00	  +1.3169999999999999E+00	  +6.7433333333333337E+01	  +1.1469400000000000E+02	  -1.1862000000000000E+01	  +2.3608373377353530E+01	  +2.3361000000000001E+01	  +5.0784354380657909E+01	  +4.2159999999999997E+01	  +1.3446597837747256E+00	  +1.8956127777777778E+00	  +3.5068370766400192E+00	  +4.1601502777777775E+00	  +3.8588825000000000E+00	
  +1.3333333333333333E+00	  +1.3330000000000000E+00	  +6.7433333333333337E+01	  +1.1705500000000001E+02	  -1.2096000000000000E+01	  +2.3615213270161334E+01	  +2.3295000000000002E+01	  +5.0725987160693975E+01	  +4.2956000000000003E+01	  +1.3457013240302933E+00	  +1.9944808333333335E+00	  +3.4982673755542257E+00	  +4.1862111111111115E+00	  +4.0308852777777782E+00	
  +1.3500000000000001E+00	  +1.3500000000000001E+00	  +6.7433333333333337E+01	  +1.1912000000000000E+02	  -1.2037000000000001E+01	  +2.3621072503629293E+01	  +2.3013999999999999E+01	  +5.0745064185593399E+01	  +4.3009000000000000E+01	  +1.3455706759896195E+00	  +2.0146158333333335E+00	  +3.4999842735848530E+00	  +4.3078019444444440E+00	  +4.1009663888888888E+00	
  +1.3666666666666667E+00	  +1.3670000000000000E+00	  +6.7433333333333337E+01	  +1.2098999999999999E+02	  -1.2320000000000000E+01	  +2.3626097642903819E+01	  +2.3020000000000000E+01	  +5.0672504802236737E+01	  +4.3258000000000003E+01	  +1.3467678467374524E+00	  +2.0314069444444445E+00	  +3.4898201479677478E+00	  +4.3524136111111114E+00	  +4.1490261111111115E+00	
  +1.3833333333333333E+00	  +1.3830000000000000E+00	  +5.9500000000000000E+01	  +1.1857299999999999E+02	  -1.2590999999999999E+01	  +2.3608829756312328E+01	  +2.3268000000000001E+01	  +4.8368311929352295E+01	  +4.3689000000000000E+01	  +1.0995664682862136E+00	  +2.0591941666666669E+00	  +3.1967267094835758E+00	  +4.3881222222222220E+00	  +4.1819513888888888E+00	
  +1.3999999999999999E+00	  +1.3999999999999999E+00	  +5.9500000000000000E+01	  +1.1825900000000000E+02	  -1.2484000000000000E+01	  +2.3571398809626263E+01	  +2.3437999999999999E+01	  +4.8371807805475278E+01	  +4.3908000000000001E+01	  +1.0991310316647833E+00	  +2.0188666666666668E+00	  +3.2006724838387806E+00	  +4.3531133333333338E+00	  +4.1893816666666668E+00	
  +1.4166666666666667E+00	  +1.4170000000000000E+00	  +5.9500000000000000E+01	  +1.1756699999999999E+02	  -1.2465999999999999E+01	  +2.3301642403479107E+01	  +2.3231999999999999E+01	  +2.3303815675766511E+01	  +4.3854999999999997E+01	  +6.5708701652202028E-01	  +2.0245925000000002E+00	  +0.0000000000000000E+00	  +4.3491269444444445E+00	  +4.2225997222222222E+00	
  +1.4333333333333333E+00	  +1.4330000000000001E+00	  +5.9500000000000000E+01	  +1.2009399999999999E+02	  -1.2723000000000001E+01	  +2.2812158171184571E+01	  +2.3013999999999999E+01	  +2.2816720159406493E+01	  +4.3901000000000003E+01	  +6.5307550473257270E-01	  +2.0156580555555554E+00	  +0.0000000000000000E+00	  +4.3176983333333334E+00	  +4.2778272222222222E+00	
  +1.4500000000000000E+00	  +1.4500000000000000E+00	  +5.9500000000000000E+01	  +1.1966600000000000E+02	  -1.2728999999999999E+01	  +2.2340709835273206E+01	  +2.2936000000000000E+01	  +2.2345135547957266E+01	  +4.3851999999999997E+01	  +6.4902730387327923E-01	  +1.9979052777777777E+00	  +0.0000000000000000E+00	  +4.3783052777777778E+00	  +4.2846663888888887E+00	
  +1.4666666666666666E+00	  +1.4670000000000001E+00	  +5.9500000000000000E+01	  +1.2054300000000001E+02	  -1.2852000000000000E+01	  +2.1886610000299534E+01	  +2.2323000000000000E+01	  +2.1890881443897534E+01	  +4.3654000000000003E+01	  +6.4541277632070160E-01	  +2.0357305555555554E+00	  +0.0000000000000000E+00	  +4.4685666666666668E+00	  +4.3753797222222222E+00	
