nu	phi1	phi2
0.432	0.620	0.294
0.444	0.620	0.287
0.439	0.618	0.294
0.436	0.624	0.290
0.437	0.625	0.292
0.466	0.649	0.309
0.437	0.621	0.288
0.444	0.625	0.285
0.439	0.625	0.290
0.466	0.651	0.308
0.431	0.625	0.289
0.461	0.653	0.307
0.492	0.678	0.336
0.501	0.697	0.343
0.533	0.741	0.382
0.538	0.751	0.384
0.532	0.751	0.383
0.540	0.753	0.386
0.539	0.754	0.385
0.534	0.751	0.390
0.533	0.756	0.388
0.538	0.756	0.386
0.536	0.755	0.382
0.533	0.755	0.385
0.533	0.757	0.383
0.533	0.758	0.386
0.532	0.758	0.386
0.532	0.757	0.386
0.535	0.759	0.390
0.537	0.756	0.385
0.533	0.758	0.390
0.533	0.756	0.390
0.532	0.756	0.387
0.536	0.759	0.397
0.533	0.757	0.385
0.534	0.757	0.390
0.537	0.758	0.390
0.531	0.756	0.381
0.534	0.756	0.389
0.533	0.756	0.387
0.538	0.756	0.384
0.535	0.759	0.394
0.542	0.759	0.388
0.532	0.761	0.391
0.534	0.758	0.390
0.504	0.722	0.350
0.501	0.724	0.357
0.534	0.755	0.389
0.501	0.718	0.359
0.501	0.719	0.349
0.534	0.751	0.392
0.505	0.715	0.366
0.507	0.719	0.362
0.500	0.718	0.354
0.500	0.719	0.359
0.508	0.719	0.348
0.532	0.752	0.381
0.501	0.714	0.362
0.535	0.750	0.389
0.532	0.747	0.385
0.534	0.747	0.387
0.507	0.716	0.353
0.533	0.748	0.388
0.536	0.747	0.389
0.533	0.745	0.387
0.500	0.719	0.353
0.501	0.722	0.363
0.536	0.756	0.386
0.538	0.747	0.397
0.535	0.749	0.389
0.506	0.720	0.358
0.532	0.754	0.386
0.531	0.751	0.386
0.538	0.750	0.385
0.533	0.749	0.383
0.533	0.752	0.394
0.534	0.754	0.392
0.502	0.720	0.353
0.741	0.793	0.594
0.844	0.876	0.748
0.839	0.871	0.748
0.830	0.875	0.743
0.831	0.886	0.756
0.830	0.908	0.760
0.822	0.927	0.753
0.822	0.932	0.765
0.822	0.941	0.747
0.822	0.959	0.758
0.813	0.963	0.745
0.813	0.967	0.736
0.823	0.962	0.739
0.356	0.406	0.196
0.819	0.924	0.722
0.760	0.801	0.594
0.722	0.880	0.586
0.829	0.954	0.738
0.814	0.958	0.745
0.814	0.965	0.742
0.805	0.952	0.738
0.807	0.949	0.726
0.814	0.960	0.739
0.813	0.970	0.743
0.814	0.974	0.734
0.813	0.967	0.737
