 TIME                    	time                     	freq                     	Toa                      	Tr                       	RHr                      	Ts-exp                   	Ts-sim                   	RHs-exp                  	RHs-sim                  	Pel-exp                  	Pel-sim                  	Qc-exp                   	Qc-sim                   	Qcs-exp                  	Qcs-sim                  	Qcl-exp                  	Qcl-sim                  	
  +5.9999999999999998E-01	  +2.1600000000000000E+03	  +5.3320999999999998E+01	  +4.0747999999999998E+01	  +2.5702000000000002E+01	  +6.5683000000000007E+01	  +1.3640000000000001E+01	  +1.4088046149202951E+01	  +6.3856999999999999E+01	  +6.0581452203231066E+01	  +8.4033055555555558E-01	  +8.8412094325974944E-01	  +3.7090611111111111E+00	  +3.6888314042522889E+00	  +1.4549830555555556E+00	  +1.4001382850363180E+00	  +2.2540780555555555E+00	  +2.2886931192159707E+00	
  +6.1666666666666670E-01	  +2.2200000000000000E+03	  +5.2409999999999997E+01	  +4.0704999999999998E+01	  +2.5632999999999999E+01	  +5.6902000000000001E+01	  +1.3624000000000001E+01	  +1.0406766857806494E+01	  +3.9393000000000001E+01	  +6.8834121715568912E+01	  +8.4810694444444445E-01	  +8.6327497926315777E-01	  +3.7174438888888890E+00	  +3.6240575724721547E+00	  +1.3951030555555555E+00	  +1.7736314241605751E+00	  +2.3223408333333331E+00	  +1.8504261483115794E+00	
  +6.3333333333333330E-01	  +2.2800000000000000E+03	  +5.1856999999999999E+01	  +4.0777999999999999E+01	  +2.5687999999999999E+01	  +3.6521000000000001E+01	  +1.3574999999999999E+01	  +1.5749704800406290E+01	  +7.1064999999999998E+01	  +5.4708497567622238E+01	  +8.4214694444444438E-01	  +8.5125084593964895E-01	  +3.6356891666666664E+00	  +3.5759943044681748E+00	  +3.2137763888888888E+00	  +2.6322700096247842E+00	  +4.2191277777777775E-01	  +9.4372429484339060E-01	
  +6.5000000000000002E-01	  +2.3400000000000000E+03	  +5.4271000000000001E+01	  +4.0439000000000000E+01	  +2.5651000000000000E+01	  +6.3633000000000003E+01	  +1.3492000000000001E+01	  +1.3008757531271216E+01	  +6.3823000000000000E+01	  +6.1630386157952657E+01	  +8.4265222222222214E-01	  +9.0491989185152899E-01	  +3.5946994444444442E+00	  +3.7626607432919932E+00	  +1.4660847222222222E+00	  +1.5227909664462271E+00	  +2.1286144444444446E+00	  +2.2398697768457660E+00	
  +6.6666666666666663E-01	  +2.4000000000000000E+03	  +5.2773000000000003E+01	  +4.0393999999999998E+01	  +2.5564000000000000E+01	  +3.9826000000000001E+01	  +1.3430000000000000E+01	  +1.0522319667639854E+01	  +4.5694000000000003E+01	  +7.0088185487063853E+01	  +8.3780694444444448E-01	  +8.7071317637774437E-01	  +3.6572083333333336E+00	  +3.6504371971702092E+00	  +2.0510763888888888E+00	  +2.5474567381948505E+00	  +1.6061319444444444E+00	  +1.1029804589753587E+00	
  +6.8333333333333335E-01	  +2.4600000000000000E+03	  +5.2956000000000003E+01	  +4.0304000000000002E+01	  +2.5593000000000000E+01	  +5.8692999999999998E+01	  +1.3502000000000001E+01	  +1.3978093082694752E+01	  +7.1072999999999993E+01	  +6.7997635581973654E+01	  +8.4164166666666662E-01	  +8.7489823366736874E-01	  +3.7246561111111114E+00	  +3.6790821064454757E+00	  +1.7851074999999998E+00	  +1.7140304612894082E+00	  +1.9395483333333332E+00	  +1.9650516451560680E+00	
  +6.9999999999999996E-01	  +2.5200000000000000E+03	  +5.3262999999999998E+01	  +4.0518000000000001E+01	  +2.5641999999999999E+01	  +5.0323999999999998E+01	  +1.3615000000000000E+01	  +1.2681871686403376E+01	  +6.0789000000000001E+01	  +7.0920667191705178E+01	  +8.3780972222222216E-01	  +8.8229223210305752E-01	  +3.7761147222222227E+00	  +3.6859259702998064E+00	  +1.9519144444444443E+00	  +2.1050432797013094E+00	  +1.8242002777777777E+00	  +1.5808826905984967E+00	
  +7.1666666666666667E-01	  +2.5800000000000000E+03	  +5.2713999999999999E+01	  +4.0323999999999998E+01	  +2.5588999999999999E+01	  +6.2625999999999998E+01	  +1.3516999999999999E+01	  +1.3435259808815381E+01	  +5.9427000000000000E+01	  +6.3584967732195373E+01	  +8.4234888888888892E-01	  +8.6944616787007512E-01	  +3.7784183333333337E+00	  +3.6637384802235955E+00	  +1.5139122222222221E+00	  +1.5248083810117603E+00	  +2.2645063888888890E+00	  +2.1389300992118354E+00	
  +7.3333333333333328E-01	  +2.6400000000000000E+03	  +5.2899000000000001E+01	  +4.0286999999999999E+01	  +2.5593000000000000E+01	  +5.3186000000000000E+01	  +1.3464000000000000E+01	  +1.3809494831280920E+01	  +7.1091999999999999E+01	  +6.9463062055979691E+01	  +8.4022944444444447E-01	  +8.7359571167007521E-01	  +3.7364269444444447E+00	  +3.6728542665835295E+00	  +2.0218602777777779E+00	  +1.9636426642978533E+00	  +1.7145663888888889E+00	  +1.7092116022856767E+00	
  +7.5000000000000000E-01	  +2.7000000000000000E+03	  +5.2218000000000004E+01	  +4.0831000000000003E+01	  +2.5614999999999998E+01	  +6.2363999999999997E+01	  +1.3525000000000000E+01	  +1.2078710938707800E+01	  +4.5497999999999998E+01	  +6.1619059069332053E+01	  +8.4467361111111106E-01	  +8.5900594667368424E-01	  +3.7393958333333335E+00	  +3.6076627786156767E+00	  +1.3497577777777776E+00	  +1.5136892991437341E+00	  +2.3896380555555554E+00	  +2.0939734794719431E+00	
