 TIME                    	time                     	freq                     	Toa                      	Tr                       	Ts-exp                   	Ts-sim                   	Pel-exp                  	Pel-sim                  	Qh-exp                   	Qh-sim                   	Qhair-exp                	
  +7.6666666666666672E-01	  +7.6700000000000002E-01	  +5.8485999999999997E+01	  +9.6430000000000007E+00	  +2.3167000000000002E+01	  +4.2006999999999998E+01	  +4.3716778975183587E+01	  +8.9042027777777777E-01	  +9.4790155518529395E-01	  +4.3354366666666664E+00	  +4.4613022524009596E+00	  +3.8692355555555555E+00	
  +7.8333333333333333E-01	  +7.8300000000000003E-01	  +5.9332999999999998E+01	  +9.3840000000000003E+00	  +2.3059999999999999E+01	  +4.1939999999999998E+01	  +4.3574395474690036E+01	  +8.8749222222222224E-01	  +9.7033986344636658E-01	  +4.3203327777777778E+00	  +4.4531522555610472E+00	  +3.8785591666666668E+00	
  +8.0000000000000004E-01	  +8.0000000000000004E-01	  +5.8369999999999997E+01	  +9.7029999999999994E+00	  +2.3303000000000001E+01	  +4.2091999999999999E+01	  +4.3833939217669837E+01	  +8.7800361111111114E-01	  +9.4599819039631738E-01	  +4.3365886111111109E+00	  +4.4578118956111847E+00	  +3.8575530555555559E+00	
  +8.1666666666666665E-01	  +8.1699999999999995E-01	  +5.8838000000000001E+01	  +9.5299999999999994E+00	  +2.3273000000000000E+01	  +4.2100999999999999E+01	  +4.3735601206172070E+01	  +8.8789333333333342E-01	  +9.5922270072886817E-01	  +4.3504283333333333E+00	  +4.4428416708389245E+00	  +3.8657019444444445E+00	
  +8.3333333333333337E-01	  +8.3299999999999996E-01	  +5.8670999999999999E+01	  +9.5129999999999999E+00	  +2.3196999999999999E+01	  +4.1988999999999997E+01	  +4.3626333356617778E+01	  +8.7366611111111103E-01	  +9.5432923783649293E-01	  +4.3398777777777777E+00	  +4.4352850826654198E+00	  +3.8592911111111112E+00	
  +8.4999999999999998E-01	  +8.4999999999999998E-01	  +5.9912999999999997E+01	  +9.6649999999999991E+00	  +2.3271000000000001E+01	  +4.2072000000000003E+01	  +4.4185088649779161E+01	  +8.7265555555555552E-01	  +9.8551089250735302E-01	  +4.3370652777777776E+00	  +4.5408596601581808E+00	  +3.8601927777777778E+00	
  +8.6666666666666670E-01	  +8.6699999999999999E-01	  +5.7771999999999998E+01	  +9.6730000000000000E+00	  +2.3166000000000000E+01	  +4.2003999999999998E+01	  +4.3553891827746419E+01	  +8.8315500000000002E-01	  +9.3008307469431528E-01	  +4.3463799999999999E+00	  +4.4261526215662732E+00	  +3.8688544444444446E+00	
  +8.8333333333333330E-01	  +8.8300000000000001E-01	  +5.9417999999999999E+01	  +9.4809999999999999E+00	  +2.3361999999999998E+01	  +4.2116999999999997E+01	  +4.3884182912959787E+01	  +8.7196249999999997E-01	  +9.7533747419876426E-01	  +4.3282252777777783E+00	  +4.4561721089259221E+00	  +3.8500108333333336E+00	
  +9.0000000000000002E-01	  +9.0000000000000002E-01	  +5.9250000000000000E+01	  +9.6159999999999997E+00	  +2.3370000000000001E+01	  +4.2180999999999997E+01	  +4.4008508969942248E+01	  +8.8103250000000000E-01	  +9.6948339164607034E-01	  +4.3099277777777774E+00	  +4.4814667811242135E+00	  +3.8611786111111113E+00	
  +9.1666666666666663E-01	  +9.1700000000000004E-01	  +5.9911000000000001E+01	  +9.5899999999999999E+00	  +2.3427000000000000E+01	  +4.2226999999999997E+01	  +4.4177745677006861E+01	  +8.7588694444444448E-01	  +9.8847199095810667E-01	  +4.3233772222222218E+00	  +4.5060942832427076E+00	  +3.8580780555555556E+00	
