nu	phic1	phic1s	phic1s	phic2
0.795	0.755	0.380	0.375	0.701
0.750	0.752	0.382	0.371	0.693
0.754	0.713	0.359	0.354	0.656
0.769	0.754	0.384	0.370	0.710
0.780	0.751	0.381	0.370	0.700
0.769	0.752	0.382	0.370	0.700
0.757	0.753	0.386	0.367	0.702
0.758	0.748	0.381	0.367	0.705
0.760	0.742	0.380	0.362	0.701
0.750	0.741	0.379	0.362	0.693
0.777	0.706	0.363	0.343	0.652
0.737	0.707	0.361	0.346	0.665
0.746	0.707	0.362	0.345	0.656
0.769	0.703	0.361	0.342	0.659
0.742	0.753	0.384	0.369	0.723
0.752	0.742	0.378	0.363	0.720
0.742	0.741	0.384	0.357	0.710
0.754	0.737	0.385	0.352	0.711
0.811	0.868	0.399	0.470	0.733
0.839	0.842	0.390	0.452	0.729
0.807	0.840	0.393	0.447	0.746
0.767	0.830	0.389	0.440	0.741
0.804	0.830	0.386	0.443	0.739
0.822	0.829	0.391	0.438	0.742
0.830	0.827	0.390	0.437	0.753
0.804	0.831	0.390	0.441	0.779
0.787	0.820	0.387	0.434	0.752
0.823	0.818	0.387	0.431	0.746
0.776	0.817	0.394	0.423	0.752
0.795	0.813	0.392	0.422	0.768
0.804	0.828	0.392	0.436	0.733
0.805	0.821	0.392	0.429	0.755
0.785	0.834	0.398	0.436	0.726
0.802	0.802	0.385	0.416	0.667
0.812	0.820	0.394	0.426	0.718
0.790	0.822	0.401	0.420	0.735
0.839	0.822	0.401	0.422	0.729
0.787	0.821	0.402	0.418	0.726
0.776	0.769	0.378	0.391	0.680
0.750	0.773	0.380	0.393	0.681
0.734	0.773	0.383	0.391	0.687
0.777	0.770	0.381	0.390	0.678
0.768	0.763	0.384	0.380	0.688
0.724	0.766	0.386	0.380	0.689
0.785	0.766	0.388	0.378	0.692
0.737	0.748	0.380	0.369	0.696
0.733	0.757	0.389	0.369	0.696
0.804	0.755	0.392	0.362	0.690
0.795	0.748	0.383	0.365	0.694
0.723	0.752	0.388	0.364	0.695
0.733	0.738	0.378	0.361	0.698
0.724	0.704	0.366	0.339	0.648
0.937	1.038	0.585	0.453	0.946
0.921	1.048	0.496	0.552	0.936
0.928	1.049	0.586	0.463	0.942
0.926	1.048	0.460	0.587	0.945
0.926	1.017	0.570	0.447	0.936
0.934	1.050	0.543	0.507	0.935
0.928	1.039	0.562	0.477	0.938
0.898	1.038	0.608	0.430	0.934
0.945	1.041	0.539	0.503	0.958
1.072	1.071	0.580	0.491	1.093
1.085	1.070	0.576	0.494	1.109
1.053	1.063	0.576	0.488	1.088
1.063	1.083	0.590	0.493	1.094
1.060	1.086	0.589	0.498	1.085
1.072	1.080	0.584	0.496	1.115
1.060	1.080	0.576	0.504	1.102
1.064	1.086	0.583	0.503	1.098
1.079	1.088	0.590	0.497	1.105
1.089	1.086	0.579	0.507	1.106
1.063	1.087	0.582	0.504	1.099
1.071	1.087	0.589	0.498	1.104
1.113	1.053	0.567	0.485	1.102
1.062	1.056	0.569	0.487	1.098
1.064	1.086	0.591	0.496	1.093
1.069	1.091	0.600	0.491	1.095
1.079	1.090	0.582	0.508	1.112
1.064	1.092	0.584	0.508	1.132
1.087	1.072	0.564	0.508	1.113
1.070	1.087	0.582	0.505	1.112
1.129	1.095	0.580	0.515	1.192
1.111	1.080	0.578	0.502	1.204
1.131	1.106	0.585	0.521	1.202
1.129	1.126	0.600	0.526	1.189
1.132	1.131	0.602	0.530	1.211
1.145	1.116	0.591	0.525	1.254
1.178	1.134	0.604	0.530	1.268
1.167	1.134	0.606	0.528	1.250
1.147	1.152	0.609	0.543	1.265
1.146	1.144	0.614	0.530	1.253
1.169	1.127	0.602	0.524	1.272
1.176	1.117	0.597	0.520	1.266
